"siteid","sitename","itemid","itemname","itemengname","itemunit","monitormonth","concentration"
8,"菜寮",3,"臭氧","O3","ppb",202304,"36.3"
8,"菜寮",2,"一氧化碳","CO","ppm",202304,"0.45"
8,"菜寮",1,"二氧化硫","SO2","ppb",202304,"0.9"
7,"新莊",38,"相對濕度","RH","%",202304,"77"
7,"新莊",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
7,"新莊",14,"溫度","AMB_TEMP","℃",202304,"22.4"
7,"新莊",10,"風速","WIND_SPEED","m/sec",202304,"1.9"
7,"新莊",7,"二氧化氮","NO2","ppb",202304,"14.2"
7,"新莊",6,"一氧化氮","NO","ppb",202304,"2.1"
7,"新莊",5,"氮氧化物","NOx","ppb",202304,"16.4"
7,"新莊",4,"懸浮微粒","PM10","μg/m3",202304,"41"
7,"新莊",3,"臭氧","O3","ppb",202304,"36.5"
7,"新莊",2,"一氧化碳","CO","ppm",202304,"0.39"
7,"新莊",1,"二氧化硫","SO2","ppb",202304,"0.9"
6,"板橋",38,"相對濕度","RH","%",202304,"74"
6,"板橋",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
6,"板橋",14,"溫度","AMB_TEMP","℃",202304,"22.9"
6,"板橋",10,"風速","WIND_SPEED","m/sec",202304,"1.3"
6,"板橋",7,"二氧化氮","NO2","ppb",202304,"16"
6,"板橋",6,"一氧化氮","NO","ppb",202304,"2.2"
6,"板橋",5,"氮氧化物","NOx","ppb",202304,"18.3"
6,"板橋",4,"懸浮微粒","PM10","μg/m3",202304,"36"
6,"板橋",3,"臭氧","O3","ppb",202304,"34.7"
6,"板橋",2,"一氧化碳","CO","ppm",202304,"0.46"
6,"板橋",1,"二氧化硫","SO2","ppb",202304,"0.8"
5,"土城",38,"相對濕度","RH","%",202304,"74"
5,"土城",33,"細懸浮微粒","PM2.5","μg/m3",202304,"18"
5,"土城",14,"溫度","AMB_TEMP","℃",202304,"22.8"
5,"土城",10,"風速","WIND_SPEED","m/sec",202304,"1.1"
5,"土城",7,"二氧化氮","NO2","ppb",202304,"14.8"
5,"土城",6,"一氧化氮","NO","ppb",202304,"2.8"
5,"土城",5,"氮氧化物","NOx","ppb",202304,"17.7"
5,"土城",4,"懸浮微粒","PM10","μg/m3",202304,"38"
5,"土城",3,"臭氧","O3","ppb",202304,"33.9"
5,"土城",2,"一氧化碳","CO","ppm",202304,"0.42"
5,"土城",1,"二氧化硫","SO2","ppb",202304,"1.2"
4,"新店",38,"相對濕度","RH","%",202304,"74"
4,"新店",33,"細懸浮微粒","PM2.5","μg/m3",202304,"15"
4,"新店",14,"溫度","AMB_TEMP","℃",202304,"22.9"
4,"新店",10,"風速","WIND_SPEED","m/sec",202304,"1.6"
4,"新店",7,"二氧化氮","NO2","ppb",202304,"11"
4,"新店",6,"一氧化氮","NO","ppb",202304,"1.5"
4,"新店",5,"氮氧化物","NOx","ppb",202304,"12.6"
4,"新店",4,"懸浮微粒","PM10","μg/m3",202304,"33"
4,"新店",3,"臭氧","O3","ppb",202304,"37.9"
4,"新店",2,"一氧化碳","CO","ppm",202304,"0.34"
4,"新店",1,"二氧化硫","SO2","ppb",202304,"0.7"
3,"萬里",38,"相對濕度","RH","%",202304,"77"
3,"萬里",33,"細懸浮微粒","PM2.5","μg/m3",202304,"16"
3,"萬里",14,"溫度","AMB_TEMP","℃",202304,"21.7"
3,"萬里",10,"風速","WIND_SPEED","m/sec",202304,"2.9"
3,"萬里",7,"二氧化氮","NO2","ppb",202304,"4.1"
3,"萬里",6,"一氧化氮","NO","ppb",202304,"0.9"
3,"萬里",5,"氮氧化物","NOx","ppb",202304,"5.1"
3,"萬里",4,"懸浮微粒","PM10","μg/m3",202304,"43"
3,"萬里",3,"臭氧","O3","ppb",202304,"43.3"
3,"萬里",2,"一氧化碳","CO","ppm",202304,"0.25"
3,"萬里",1,"二氧化硫","SO2","ppb",202304,"0.5"
2,"汐止",38,"相對濕度","RH","%",202304,"78"
2,"汐止",33,"細懸浮微粒","PM2.5","μg/m3",202304,"16"
2,"汐止",14,"溫度","AMB_TEMP","℃",202304,"22.5"
2,"汐止",10,"風速","WIND_SPEED","m/sec",202304,"0.8"
2,"汐止",7,"二氧化氮","NO2","ppb",202304,"14.4"
2,"汐止",6,"一氧化氮","NO","ppb",202304,"3.3"
2,"汐止",5,"氮氧化物","NOx","ppb",202304,"17.9"
2,"汐止",4,"懸浮微粒","PM10","μg/m3",202304,"34"
2,"汐止",3,"臭氧","O3","ppb",202304,"31.7"
2,"汐止",2,"一氧化碳","CO","ppm",202304,"0.34"
2,"汐止",1,"二氧化硫","SO2","ppb",202304,"1.1"
1,"基隆",38,"相對濕度","RH","%",202304,"82"
1,"基隆",33,"細懸浮微粒","PM2.5","μg/m3",202304,"17"
1,"基隆",14,"溫度","AMB_TEMP","℃",202304,"21.9"
1,"基隆",10,"風速","WIND_SPEED","m/sec",202304,"0.8"
1,"基隆",7,"二氧化氮","NO2","ppb",202304,"9.4"
1,"基隆",6,"一氧化氮","NO","ppb",202304,"1.6"
1,"基隆",5,"氮氧化物","NOx","ppb",202304,"11.2"
1,"基隆",4,"懸浮微粒","PM10","μg/m3",202304,"34"
1,"基隆",3,"臭氧","O3","ppb",202304,"36.7"
1,"基隆",1,"二氧化硫","SO2","ppb",202304,"0.9"
31,"忠明",10,"風速","WIND_SPEED","m/sec",202304,"1.5"
25,"頭份",3,"臭氧","O3","ppb",202304,"35.9"
45,"安南",3,"臭氧","O3","ppb",202304,"38.6"
31,"忠明",33,"細懸浮微粒","PM2.5","μg/m3",202304,"21"
31,"忠明",38,"相對濕度","RH","%",202304,"78"
32,"西屯",1,"二氧化硫","SO2","ppb",202304,"1.4"
32,"西屯",2,"一氧化碳","CO","ppm",202304,"0.36"
32,"西屯",3,"臭氧","O3","ppb",202304,"34.4"
32,"西屯",4,"懸浮微粒","PM10","μg/m3",202304,"45"
32,"西屯",5,"氮氧化物","NOx","ppb",202304,"15.9"
32,"西屯",6,"一氧化氮","NO","ppb",202304,"2.1"
32,"西屯",7,"二氧化氮","NO2","ppb",202304,"13.7"
32,"西屯",10,"風速","WIND_SPEED","m/sec",202304,"1.9"
32,"西屯",14,"溫度","AMB_TEMP","℃",202304,"23.7"
32,"西屯",33,"細懸浮微粒","PM2.5","μg/m3",202304,"25"
32,"西屯",38,"相對濕度","RH","%",202304,"75"
33,"彰化",1,"二氧化硫","SO2","ppb",202304,"1.4"
33,"彰化",2,"一氧化碳","CO","ppm",202304,"0.38"
33,"彰化",3,"臭氧","O3","ppb",202304,"36"
33,"彰化",4,"懸浮微粒","PM10","μg/m3",202304,"49"
33,"彰化",5,"氮氧化物","NOx","ppb",202304,"13.5"
33,"彰化",6,"一氧化氮","NO","ppb",202304,"1.6"
33,"彰化",7,"二氧化氮","NO2","ppb",202304,"11.8"
33,"彰化",10,"風速","WIND_SPEED","m/sec",202304,"1.4"
33,"彰化",14,"溫度","AMB_TEMP","℃",202304,"24.4"
33,"彰化",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
33,"彰化",38,"相對濕度","RH","%",202304,"72"
34,"線西",1,"二氧化硫","SO2","ppb",202304,"2.1"
34,"線西",2,"一氧化碳","CO","ppm",202304,"0.34"
34,"線西",3,"臭氧","O3","ppb",202304,"36.7"
34,"線西",4,"懸浮微粒","PM10","μg/m3",202304,"50"
34,"線西",5,"氮氧化物","NOx","ppb",202304,"12"
34,"線西",6,"一氧化氮","NO","ppb",202304,"1.3"
34,"線西",7,"二氧化氮","NO2","ppb",202304,"10.6"
34,"線西",10,"風速","WIND_SPEED","m/sec",202304,"2.8"
34,"線西",14,"溫度","AMB_TEMP","℃",202304,"23.4"
34,"線西",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
34,"線西",38,"相對濕度","RH","%",202304,"79"
35,"二林",1,"二氧化硫","SO2","ppb",202304,"2.3"
35,"二林",2,"一氧化碳","CO","ppm",202304,"0.36"
35,"二林",3,"臭氧","O3","ppb",202304,"37"
35,"二林",4,"懸浮微粒","PM10","μg/m3",202304,"61"
35,"二林",5,"氮氧化物","NOx","ppb",202304,"8.4"
35,"二林",6,"一氧化氮","NO","ppb",202304,"0.5"
35,"二林",7,"二氧化氮","NO2","ppb",202304,"7.8"
35,"二林",10,"風速","WIND_SPEED","m/sec",202304,"2.1"
35,"二林",14,"溫度","AMB_TEMP","℃",202304,"24.2"
35,"二林",33,"細懸浮微粒","PM2.5","μg/m3",202304,"27"
35,"二林",38,"相對濕度","RH","%",202304,"80"
36,"南投",1,"二氧化硫","SO2","ppb",202304,"1.4"
36,"南投",2,"一氧化碳","CO","ppm",202304,"0.39"
36,"南投",3,"臭氧","O3","ppb",202304,"31.6"
36,"南投",4,"懸浮微粒","PM10","μg/m3",202304,"48"
36,"南投",5,"氮氧化物","NOx","ppb",202304,"13.5"
36,"南投",6,"一氧化氮","NO","ppb",202304,"1.4"
36,"南投",7,"二氧化氮","NO2","ppb",202304,"12"
36,"南投",10,"風速","WIND_SPEED","m/sec",202304,"1.3"
36,"南投",14,"溫度","AMB_TEMP","℃",202304,"24.4"
36,"南投",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
36,"南投",38,"相對濕度","RH","%",202304,"69"
37,"斗六",1,"二氧化硫","SO2","ppb",202304,"1.9"
37,"斗六",2,"一氧化碳","CO","ppm",202304,"0.37"
37,"斗六",3,"臭氧","O3","ppb",202304,"36.9"
37,"斗六",4,"懸浮微粒","PM10","μg/m3",202304,"58"
37,"斗六",5,"氮氧化物","NOx","ppb",202304,"10.7"
37,"斗六",6,"一氧化氮","NO","ppb",202304,"1.2"
37,"斗六",7,"二氧化氮","NO2","ppb",202304,"9.4"
37,"斗六",10,"風速","WIND_SPEED","m/sec",202304,"1.4"
37,"斗六",14,"溫度","AMB_TEMP","℃",202304,"24.6"
37,"斗六",33,"細懸浮微粒","PM2.5","μg/m3",202304,"29"
37,"斗六",38,"相對濕度","RH","%",202304,"73"
38,"崙背",1,"二氧化硫","SO2","ppb",202304,"1.7"
38,"崙背",2,"一氧化碳","CO","ppm",202304,"0.32"
38,"崙背",3,"臭氧","O3","ppb",202304,"35.9"
38,"崙背",4,"懸浮微粒","PM10","μg/m3",202304,"57"
38,"崙背",5,"氮氧化物","NOx","ppb",202304,"8.2"
38,"崙背",6,"一氧化氮","NO","ppb",202304,"0.9"
38,"崙背",7,"二氧化氮","NO2","ppb",202304,"7.2"
38,"崙背",10,"風速","WIND_SPEED","m/sec",202304,"1.3"
38,"崙背",14,"溫度","AMB_TEMP","℃",202304,"24.2"
38,"崙背",33,"細懸浮微粒","PM2.5","μg/m3",202304,"28"
38,"崙背",38,"相對濕度","RH","%",202304,"79"
39,"新港",1,"二氧化硫","SO2","ppb",202304,"2"
39,"新港",2,"一氧化碳","CO","ppm",202304,"0.33"
39,"新港",3,"臭氧","O3","ppb",202304,"38.7"
39,"新港",4,"懸浮微粒","PM10","μg/m3",202304,"58"
39,"新港",5,"氮氧化物","NOx","ppb",202304,"9"
39,"新港",6,"一氧化氮","NO","ppb",202304,"1.5"
39,"新港",7,"二氧化氮","NO2","ppb",202304,"7.5"
39,"新港",10,"風速","WIND_SPEED","m/sec",202304,"1.8"
39,"新港",14,"溫度","AMB_TEMP","℃",202304,"24.3"
39,"新港",33,"細懸浮微粒","PM2.5","μg/m3",202304,"28"
39,"新港",38,"相對濕度","RH","%",202304,"77"
40,"朴子",1,"二氧化硫","SO2","ppb",202304,"1.5"
40,"朴子",2,"一氧化碳","CO","ppm",202304,"0.32"
40,"朴子",3,"臭氧","O3","ppb",202304,"40.9"
40,"朴子",4,"懸浮微粒","PM10","μg/m3",202304,"51"
40,"朴子",5,"氮氧化物","NOx","ppb",202304,"7.3"
40,"朴子",6,"一氧化氮","NO","ppb",202304,"0.6"
40,"朴子",7,"二氧化氮","NO2","ppb",202304,"6.6"
40,"朴子",10,"風速","WIND_SPEED","m/sec",202304,"1.3"
41,"臺西",6,"一氧化氮","NO","ppb",202304,"1.4"
41,"臺西",7,"二氧化氮","NO2","ppb",202304,"6.8"
41,"臺西",10,"風速","WIND_SPEED","m/sec",202304,"3.1"
41,"臺西",14,"溫度","AMB_TEMP","℃",202304,"23.9"
41,"臺西",33,"細懸浮微粒","PM2.5","μg/m3",202304,"22"
41,"臺西",38,"相對濕度","RH","%",202304,"88"
43,"新營",2,"一氧化碳","CO","ppm",202304,"0.33"
43,"新營",4,"懸浮微粒","PM10","μg/m3",202304,"53"
43,"新營",5,"氮氧化物","NOx","ppb",202304,"10.9"
43,"新營",6,"一氧化氮","NO","ppb",202304,"1.2"
43,"新營",7,"二氧化氮","NO2","ppb",202304,"9.5"
43,"新營",10,"風速","WIND_SPEED","m/sec",202304,"1.6"
43,"新營",14,"溫度","AMB_TEMP","℃",202304,"25.1"
43,"新營",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
43,"新營",38,"相對濕度","RH","%",202304,"74"
44,"善化",1,"二氧化硫","SO2","ppb",202304,"1.6"
44,"善化",2,"一氧化碳","CO","ppm",202304,"0.28"
44,"善化",3,"臭氧","O3","ppb",202304,"37.3"
44,"善化",4,"懸浮微粒","PM10","μg/m3",202304,"45"
44,"善化",5,"氮氧化物","NOx","ppb",202304,"9.8"
44,"善化",6,"一氧化氮","NO","ppb",202304,"1"
44,"善化",7,"二氧化氮","NO2","ppb",202304,"8.7"
44,"善化",10,"風速","WIND_SPEED","m/sec",202304,"2.1"
44,"善化",14,"溫度","AMB_TEMP","℃",202304,"25.4"
44,"善化",33,"細懸浮微粒","PM2.5","μg/m3",202304,"21"
44,"善化",38,"相對濕度","RH","%",202304,"71"
45,"安南",1,"二氧化硫","SO2","ppb",202304,"1.4"
45,"安南",2,"一氧化碳","CO","ppm",202304,"0.33"
45,"安南",4,"懸浮微粒","PM10","μg/m3",202304,"53"
45,"安南",5,"氮氧化物","NOx","ppb",202304,"9.5"
45,"安南",6,"一氧化氮","NO","ppb",202304,"1.1"
45,"安南",7,"二氧化氮","NO2","ppb",202304,"8.3"
45,"安南",10,"風速","WIND_SPEED","m/sec",202304,"2.1"
45,"安南",14,"溫度","AMB_TEMP","℃",202304,"25.7"
45,"安南",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
45,"安南",38,"相對濕度","RH","%",202304,"69"
46,"臺南",1,"二氧化硫","SO2","ppb",202304,"0.9"
46,"臺南",2,"一氧化碳","CO","ppm",202304,"0.38"
46,"臺南",3,"臭氧","O3","ppb",202304,"32.3"
46,"臺南",4,"懸浮微粒","PM10","μg/m3",202304,"53"
46,"臺南",5,"氮氧化物","NOx","ppb",202304,"10.6"
46,"臺南",6,"一氧化氮","NO","ppb",202304,"0.8"
46,"臺南",7,"二氧化氮","NO2","ppb",202304,"9.7"
46,"臺南",10,"風速","WIND_SPEED","m/sec",202304,"0.6"
46,"臺南",14,"溫度","AMB_TEMP","℃",202304,"24.4"
46,"臺南",33,"細懸浮微粒","PM2.5","μg/m3",202304,"23"
46,"臺南",38,"相對濕度","RH","%",202304,"67"
47,"美濃",1,"二氧化硫","SO2","ppb",202304,"0.9"
47,"美濃",2,"一氧化碳","CO","ppm",202304,"0.31"
47,"美濃",3,"臭氧","O3","ppb",202304,"40.1"
47,"美濃",4,"懸浮微粒","PM10","μg/m3",202304,"42"
47,"美濃",5,"氮氧化物","NOx","ppb",202304,"6.9"
47,"美濃",6,"一氧化氮","NO","ppb",202304,"0.9"
47,"美濃",7,"二氧化氮","NO2","ppb",202304,"6"
47,"美濃",10,"風速","WIND_SPEED","m/sec",202304,"1.2"
47,"美濃",14,"溫度","AMB_TEMP","℃",202304,"26.4"
47,"美濃",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
47,"美濃",38,"相對濕度","RH","%",202304,"75"
48,"橋頭",1,"二氧化硫","SO2","ppb",202304,"1.7"
48,"橋頭",2,"一氧化碳","CO","ppm",202304,"0.35"
48,"橋頭",3,"臭氧","O3","ppb",202304,"38.4"
48,"橋頭",4,"懸浮微粒","PM10","μg/m3",202304,"56"
48,"橋頭",5,"氮氧化物","NOx","ppb",202304,"12.4"
48,"橋頭",6,"一氧化氮","NO","ppb",202304,"1.3"
48,"橋頭",7,"二氧化氮","NO2","ppb",202304,"11.1"
48,"橋頭",10,"風速","WIND_SPEED","m/sec",202304,"2.2"
48,"橋頭",14,"溫度","AMB_TEMP","℃",202304,"26.1"
48,"橋頭",33,"細懸浮微粒","PM2.5","μg/m3",202304,"25"
48,"橋頭",38,"相對濕度","RH","%",202304,"75"
49,"仁武",1,"二氧化硫","SO2","ppb",202304,"1.6"
49,"仁武",2,"一氧化碳","CO","ppm",202304,"0.36"
49,"仁武",3,"臭氧","O3","ppb",202304,"39.8"
49,"仁武",4,"懸浮微粒","PM10","μg/m3",202304,"51"
49,"仁武",5,"氮氧化物","NOx","ppb",202304,"13.1"
49,"仁武",6,"一氧化氮","NO","ppb",202304,"1.3"
49,"仁武",7,"二氧化氮","NO2","ppb",202304,"11.8"
49,"仁武",10,"風速","WIND_SPEED","m/sec",202304,"2.1"
49,"仁武",14,"溫度","AMB_TEMP","℃",202304,"26"
49,"仁武",33,"細懸浮微粒","PM2.5","μg/m3",202304,"23"
49,"仁武",38,"相對濕度","RH","%",202304,"72"
50,"鳳山",1,"二氧化硫","SO2","ppb",202304,"1.9"
50,"鳳山",2,"一氧化碳","CO","ppm",202304,"0.52"
50,"鳳山",3,"臭氧","O3","ppb",202304,"36.4"
50,"鳳山",4,"懸浮微粒","PM10","μg/m3",202304,"46"
50,"鳳山",5,"氮氧化物","NOx","ppb",202304,"16.2"
50,"鳳山",6,"一氧化氮","NO","ppb",202304,"1.9"
50,"鳳山",7,"二氧化氮","NO2","ppb",202304,"14.2"
50,"鳳山",10,"風速","WIND_SPEED","m/sec",202304,"0.8"
50,"鳳山",14,"溫度","AMB_TEMP","℃",202304,"27.1"
50,"鳳山",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
50,"鳳山",38,"相對濕度","RH","%",202304,"67"
51,"大寮",1,"二氧化硫","SO2","ppb",202304,"2.3"
51,"大寮",2,"一氧化碳","CO","ppm",202304,"0.36"
51,"大寮",3,"臭氧","O3","ppb",202304,"37.7"
51,"大寮",4,"懸浮微粒","PM10","μg/m3",202304,"52"
51,"大寮",5,"氮氧化物","NOx","ppb",202304,"13"
51,"大寮",6,"一氧化氮","NO","ppb",202304,"1"
51,"大寮",7,"二氧化氮","NO2","ppb",202304,"11.9"
19,"觀音",3,"臭氧","O3","ppb",202304,"42.5"
51,"大寮",10,"風速","WIND_SPEED","m/sec",202304,"1.5"
51,"大寮",14,"溫度","AMB_TEMP","℃",202304,"26.5"
51,"大寮",33,"細懸浮微粒","PM2.5","μg/m3",202304,"24"
51,"大寮",38,"相對濕度","RH","%",202304,"73"
52,"林園",1,"二氧化硫","SO2","ppb",202304,"1.2"
52,"林園",2,"一氧化碳","CO","ppm",202304,"0.28"
52,"林園",3,"臭氧","O3","ppb",202304,"41.3"
52,"林園",4,"懸浮微粒","PM10","μg/m3",202304,"46"
52,"林園",5,"氮氧化物","NOx","ppb",202304,"8.6"
52,"林園",6,"一氧化氮","NO","ppb",202304,"0.8"
52,"林園",7,"二氧化氮","NO2","ppb",202304,"7.7"
52,"林園",10,"風速","WIND_SPEED","m/sec",202304,"1.9"
52,"林園",14,"溫度","AMB_TEMP","℃",202304,"26.5"
52,"林園",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
52,"林園",38,"相對濕度","RH","%",202304,"73"
53,"楠梓",1,"二氧化硫","SO2","ppb",202304,"1.6"
53,"楠梓",2,"一氧化碳","CO","ppm",202304,"0.34"
53,"楠梓",3,"臭氧","O3","ppb",202304,"38.6"
53,"楠梓",4,"懸浮微粒","PM10","μg/m3",202304,"52"
53,"楠梓",5,"氮氧化物","NOx","ppb",202304,"13.6"
53,"楠梓",6,"一氧化氮","NO","ppb",202304,"1.2"
53,"楠梓",7,"二氧化氮","NO2","ppb",202304,"12.3"
53,"楠梓",10,"風速","WIND_SPEED","m/sec",202304,"1.7"
53,"楠梓",14,"溫度","AMB_TEMP","℃",202304,"26.4"
53,"楠梓",33,"細懸浮微粒","PM2.5","μg/m3",202304,"21"
53,"楠梓",38,"相對濕度","RH","%",202304,"67"
54,"左營",1,"二氧化硫","SO2","ppb",202304,"1.8"
54,"左營",2,"一氧化碳","CO","ppm",202304,"0.33"
54,"左營",3,"臭氧","O3","ppb",202304,"41.3"
54,"左營",4,"懸浮微粒","PM10","μg/m3",202304,"49"
54,"左營",5,"氮氧化物","NOx","ppb",202304,"11.1"
54,"左營",6,"一氧化氮","NO","ppb",202304,"1"
54,"左營",7,"二氧化氮","NO2","ppb",202304,"10"
54,"左營",10,"風速","WIND_SPEED","m/sec",202304,"2.3"
54,"左營",14,"溫度","AMB_TEMP","℃",202304,"26.5"
54,"左營",33,"細懸浮微粒","PM2.5","μg/m3",202304,"22"
54,"左營",38,"相對濕度","RH","%",202304,"72"
56,"前金",1,"二氧化硫","SO2","ppb",202304,"1.1"
56,"前金",2,"一氧化碳","CO","ppm",202304,"0.34"
56,"前金",3,"臭氧","O3","ppb",202304,"43.5"
56,"前金",4,"懸浮微粒","PM10","μg/m3",202304,"47"
56,"前金",5,"氮氧化物","NOx","ppb",202304,"10"
56,"前金",6,"一氧化氮","NO","ppb",202304,"0.7"
56,"前金",7,"二氧化氮","NO2","ppb",202304,"9.2"
56,"前金",10,"風速","WIND_SPEED","m/sec",202304,"2.4"
56,"前金",14,"溫度","AMB_TEMP","℃",202304,"26.3"
14,"古亭",5,"氮氧化物","NOx","ppb",202304,"12.9"
14,"古亭",4,"懸浮微粒","PM10","μg/m3",202304,"35"
14,"古亭",3,"臭氧","O3","ppb",202304,"37"
14,"古亭",2,"一氧化碳","CO","ppm",202304,"0.35"
14,"古亭",1,"二氧化硫","SO2","ppb",202304,"0.7"
13,"萬華",38,"相對濕度","RH","%",202304,"74"
13,"萬華",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
13,"萬華",14,"溫度","AMB_TEMP","℃",202304,"23"
13,"萬華",10,"風速","WIND_SPEED","m/sec",202304,"1.6"
13,"萬華",7,"二氧化氮","NO2","ppb",202304,"18.5"
13,"萬華",6,"一氧化氮","NO","ppb",202304,"2.5"
13,"萬華",3,"臭氧","O3","ppb",202304,"33.9"
13,"萬華",2,"一氧化碳","CO","ppm",202304,"0.46"
13,"萬華",1,"二氧化硫","SO2","ppb",202304,"0.9"
56,"前金",33,"細懸浮微粒","PM2.5","μg/m3",202304,"22"
56,"前金",38,"相對濕度","RH","%",202304,"76"
57,"前鎮",1,"二氧化硫","SO2","ppb",202304,"1.8"
57,"前鎮",2,"一氧化碳","CO","ppm",202304,"0.39"
57,"前鎮",3,"臭氧","O3","ppb",202304,"38.9"
57,"前鎮",4,"懸浮微粒","PM10","μg/m3",202304,"49"
57,"前鎮",5,"氮氧化物","NOx","ppb",202304,"15.4"
57,"前鎮",6,"一氧化氮","NO","ppb",202304,"1.6"
57,"前鎮",7,"二氧化氮","NO2","ppb",202304,"13.7"
57,"前鎮",10,"風速","WIND_SPEED","m/sec",202304,"1.4"
57,"前鎮",14,"溫度","AMB_TEMP","℃",202304,"26.3"
57,"前鎮",33,"細懸浮微粒","PM2.5","μg/m3",202304,"21"
57,"前鎮",38,"相對濕度","RH","%",202304,"72"
58,"小港",1,"二氧化硫","SO2","ppb",202304,"2.4"
58,"小港",2,"一氧化碳","CO","ppm",202304,"0.35"
58,"小港",3,"臭氧","O3","ppb",202304,"37"
58,"小港",4,"懸浮微粒","PM10","μg/m3",202304,"46"
58,"小港",5,"氮氧化物","NOx","ppb",202304,"18.5"
58,"小港",6,"一氧化氮","NO","ppb",202304,"2"
58,"小港",7,"二氧化氮","NO2","ppb",202304,"16.5"
58,"小港",10,"風速","WIND_SPEED","m/sec",202304,"1.9"
58,"小港",14,"溫度","AMB_TEMP","℃",202304,"26.7"
58,"小港",33,"細懸浮微粒","PM2.5","μg/m3",202304,"23"
58,"小港",38,"相對濕度","RH","%",202304,"72"
59,"屏東",1,"二氧化硫","SO2","ppb",202304,"1.4"
59,"屏東",2,"一氧化碳","CO","ppm",202304,"0.35"
59,"屏東",3,"臭氧","O3","ppb",202304,"42.3"
59,"屏東",4,"懸浮微粒","PM10","μg/m3",202304,"47"
59,"屏東",5,"氮氧化物","NOx","ppb",202304,"10.6"
59,"屏東",6,"一氧化氮","NO","ppb",202304,"0.8"
59,"屏東",7,"二氧化氮","NO2","ppb",202304,"9.8"
59,"屏東",10,"風速","WIND_SPEED","m/sec",202304,"1.6"
59,"屏東",14,"溫度","AMB_TEMP","℃",202304,"26.9"
59,"屏東",33,"細懸浮微粒","PM2.5","μg/m3",202304,"23"
59,"屏東",38,"相對濕度","RH","%",202304,"70"
60,"潮州",1,"二氧化硫","SO2","ppb",202304,"1.2"
60,"潮州",2,"一氧化碳","CO","ppm",202304,"0.31"
60,"潮州",3,"臭氧","O3","ppb",202304,"39.9"
60,"潮州",4,"懸浮微粒","PM10","μg/m3",202304,"39"
60,"潮州",5,"氮氧化物","NOx","ppb",202304,"7.9"
60,"潮州",6,"一氧化氮","NO","ppb",202304,"0.9"
60,"潮州",7,"二氧化氮","NO2","ppb",202304,"6.9"
60,"潮州",10,"風速","WIND_SPEED","m/sec",202304,"1.5"
60,"潮州",14,"溫度","AMB_TEMP","℃",202304,"25.8"
60,"潮州",33,"細懸浮微粒","PM2.5","μg/m3",202304,"19"
60,"潮州",38,"相對濕度","RH","%",202304,"73"
61,"恆春",1,"二氧化硫","SO2","ppb",202304,"0.5"
61,"恆春",2,"一氧化碳","CO","ppm",202304,"0.19"
61,"恆春",3,"臭氧","O3","ppb",202304,"44.8"
19,"觀音",2,"一氧化碳","CO","ppm",202304,"0.27"
61,"恆春",4,"懸浮微粒","PM10","μg/m3",202304,"16"
12,"中山",7,"二氧化氮","NO2","ppb",202304,"19.7"
12,"中山",6,"一氧化氮","NO","ppb",202304,"4.3"
12,"中山",5,"氮氧化物","NOx","ppb",202304,"24"
12,"中山",4,"懸浮微粒","PM10","μg/m3",202304,"40"
12,"中山",3,"臭氧","O3","ppb",202304,"32"
12,"中山",2,"一氧化碳","CO","ppm",202304,"0.49"
12,"中山",1,"二氧化硫","SO2","ppb",202304,"0.9"
11,"士林",38,"相對濕度","RH","%",202304,"80"
11,"士林",33,"細懸浮微粒","PM2.5","μg/m3",202304,"17"
11,"士林",14,"溫度","AMB_TEMP","℃",202304,"22.9"
11,"士林",10,"風速","WIND_SPEED","m/sec",202304,"1.4"
11,"士林",7,"二氧化氮","NO2","ppb",202304,"12.1"
11,"士林",6,"一氧化氮","NO","ppb",202304,"1.4"
11,"士林",5,"氮氧化物","NOx","ppb",202304,"13.7"
11,"士林",4,"懸浮微粒","PM10","μg/m3",202304,"34"
11,"士林",3,"臭氧","O3","ppb",202304,"37.6"
11,"士林",2,"一氧化碳","CO","ppm",202304,"0.33"
11,"士林",1,"二氧化硫","SO2","ppb",202304,"0.9"
10,"淡水",33,"細懸浮微粒","PM2.5","μg/m3",202304,"16"
10,"淡水",14,"溫度","AMB_TEMP","℃",202304,"21.7"
10,"淡水",10,"風速","WIND_SPEED","m/sec",202304,"1.5"
10,"淡水",7,"二氧化氮","NO2","ppb",202304,"8.8"
10,"淡水",6,"一氧化氮","NO","ppb",202304,"1.5"
10,"淡水",5,"氮氧化物","NOx","ppb",202304,"10.4"
10,"淡水",4,"懸浮微粒","PM10","μg/m3",202304,"31"
10,"淡水",3,"臭氧","O3","ppb",202304,"36.5"
10,"淡水",2,"一氧化碳","CO","ppm",202304,"0.32"
10,"淡水",1,"二氧化硫","SO2","ppb",202304,"1.1"
